dataset_id,age,richness
12,1000,26
12,11000,28
12,13000,24
12,14000,25
12,15000,26
12,16000,21
12,17000,20
12,18000,30
12,19000,28
14110,1000,51
14110,2000,33
14110,11000,53
14110,12000,32
14110,13000,56
14110,14000,50
14110,15000,40
14110,16000,40
14110,17000,33
14110,18000,28
14110,19000,27
14110,20000,28
14289,1000,44
14289,11000,41
14289,12000,28
14289,13000,38
14289,14000,41
14289,15000,37
14289,16000,40
14289,17000,34
14289,18000,36
14289,19000,36
14289,20000,24
1434,1000,34
1434,11000,27
1434,13000,19
1434,14000,22
1434,15000,17
1434,16000,14
1434,17000,14
1434,18000,13
1434,19000,17
1435,1000,48
1435,2000,21
1435,3000,29
1435,4000,22
1435,11000,35
1435,12000,26
1435,13000,30
1435,14000,29
1435,15000,24
1435,16000,29
1435,17000,33
1435,18000,28
1435,19000,38
1435,20000,31
1438,1000,31
1438,2000,15
1438,4000,26
1438,5000,28
1438,11000,28
1438,12000,19
1438,13000,24
1438,14000,19
1438,15000,24
1438,16000,18
1438,17000,21
1438,18000,17
1438,19000,16
1438,20000,19
1440,1000,39
1440,11000,37
1440,13000,31
1440,14000,37
1440,15000,37
1440,16000,42
1440,17000,40
1440,18000,35
1440,19000,30
14523,1000,37
14523,2000,21
14523,3000,27
14523,4000,29
14523,5000,29
14523,11000,28
14523,12000,21
14523,13000,29
14523,14000,30
14523,15000,29
14523,16000,18
14523,17000,20
14523,19000,18
14525,1000,22
14525,2000,11
14525,3000,13
14525,5000,30
14525,6000,28
14525,7000,32
14525,11000,32
14525,13000,26
14525,14000,20
14525,15000,25
14525,16000,19
14525,17000,23
14525,18000,21
14525,19000,14
14527,2000,29
14527,11000,18
14527,12000,29
14527,14000,29
14527,15000,30
14527,16000,35
14527,17000,20
14527,19000,25
14527,20000,22
14556,1000,77
14556,11000,52
14556,12000,55
14556,13000,36
14556,14000,56
14556,15000,41
14556,16000,17
14556,17000,19
14556,18000,15
14556,19000,30
14556,20000,38
1577,1000,43
1577,2000,25
1577,4000,34
1577,5000,30
1577,11000,38
1577,12000,25
1577,13000,37
1577,14000,36
1577,15000,25
1577,17000,19
1577,19000,23
1577,20000,24
16212,1000,54
16212,2000,27
16212,3000,25
16212,4000,26
16212,5000,23
16212,6000,34
16212,7000,26
16212,8000,19
16212,11000,58
16212,12000,38
16212,13000,52
16212,14000,44
16212,15000,43
16212,16000,40
16212,17000,43
16212,18000,40
16212,19000,36
16212,20000,41
16214,1000,60
16214,2000,35
16214,3000,27
16214,11000,39
16214,12000,43
16214,13000,41
16214,14000,42
16214,15000,38
16214,16000,36
16214,17000,36
16214,18000,43
16214,19000,41
16214,20000,59
16217,1000,52
16217,11000,44
16217,13000,43
16217,14000,32
16217,15000,28
16217,16000,25
16217,17000,18
16217,18000,21
16217,19000,19
16217,20000,21
16219,1000,61
16219,11000,41
17334,1000,61
17334,2000,46
17334,3000,57
17334,4000,42
17334,11000,54
17334,12000,29
17334,13000,59
17334,14000,53
17334,15000,50
17334,16000,28
17334,19000,22
17336,1000,36
17336,2000,14
17336,3000,39
17336,11000,45
17336,12000,19
17336,13000,32
17336,14000,32
17336,15000,31
17336,16000,25
17336,17000,20
17336,18000,19
17336,19000,13
17336,20000,14
17342,2000,14
17342,3000,13
17342,5000,16
17342,11000,46
17342,12000,20
17342,13000,30
17342,14000,23
17342,15000,24
17342,16000,24
17342,17000,20
17342,18000,24
17342,19000,20
17342,20000,21
19901,1000,73
19901,2000,28
19901,11000,39
19901,12000,16
19901,13000,44
19901,14000,26
19901,15000,28
19901,16000,28
19901,17000,27
19901,18000,21
19901,19000,21
19901,20000,26
19909,1000,39
19909,11000,32
19909,13000,32
19909,14000,35
19909,15000,26
19909,16000,35
19909,17000,26
