dataset_id,age,richness
12,1000,19
12,10000,17
14110,1000,24
14110,2000,16
14110,3000,23
14110,10000,27
14289,1000,22
14289,2000,22
14289,3000,22
14289,10000,22
1434,1000,15
1434,10000,9
1435,1000,29
1435,2000,14
1435,3000,16
1435,4000,15
1435,5000,18
1435,6000,12
1435,7000,17
1435,10000,29
1438,1000,16
1438,2000,12
1438,3000,13
1438,4000,10
1438,7000,12
1438,8000,14
1438,9000,16
1438,10000,20
1438,11000,15
1440,1000,27
1440,10000,25
14523,1000,22
14523,2000,15
14523,3000,17
14523,4000,17
14523,5000,12
14523,6000,19
14523,7000,18
14523,8000,23
14523,9000,19
14523,10000,22
14523,11000,17
14523,12000,21
14525,2000,11
14525,4000,10
14525,6000,12
14525,7000,10
14525,9000,12
14525,10000,19
14525,11000,23
14525,12000,18
14527,2000,15
14527,3000,19
14527,4000,23
14556,1000,27
14556,10000,19
1522,2000,10
1522,3000,11
1522,4000,12
1522,5000,14
1522,10000,12
1577,1000,22
1577,2000,17
1577,3000,19
1577,4000,20
1577,5000,17
1577,7000,18
1577,8000,19
1577,9000,18
1577,10000,16
1577,11000,20
16212,1000,23
16212,2000,14
16212,3000,19
16212,5000,19
16212,8000,20
16212,9000,16
16212,10000,27
16212,11000,14
16212,12000,17
16214,1000,19
16214,2000,20
16214,3000,19
16214,4000,16
16214,5000,13
16214,6000,18
16214,10000,15
16217,1000,21
16217,10000,28
16219,1000,21
16219,2000,14
16219,10000,26
17334,1000,25
17334,2000,18
17334,3000,21
17334,4000,21
17334,5000,25
17334,6000,19
17334,7000,19
17334,8000,18
17334,10000,22
17336,1000,20
17336,2000,11
17336,3000,11
17336,4000,10
17336,5000,14
17336,6000,25
17336,10000,25
17342,2000,14
17342,3000,11
17342,4000,12
17342,5000,10
17342,6000,13
17342,7000,14
17342,9000,16
17342,10000,27
17342,11000,10
17342,12000,16
19901,1000,20
19901,2000,10
19901,3000,9
19901,4000,10
19901,10000,15
19909,1000,12
19909,10000,8
19913,1000,14
19913,10000,13
20,1000,8
20,2000,9
20,10000,6
20012,1000,13
20012,10000,15
20018,1000,19
20018,2000,20
20018,3000,17
20018,4000,15
20018,5000,15
20018,6000,15
20018,7000,17
20018,8000,14
20018,9000,19
20018,10000,16
20034,1000,16
20034,2000,16
20034,10000,13
20046,1000,23
20046,2000,18
20046,4000,18
20046,5000,15
20046,10000,23
20050,1000,23
20050,2000,16
20050,3000,24
20050,4000,26
20050,5000,28
20050,6000,24
20050,7000,21
20050,10000,25
20060,2000,22
20060,3000,26
20060,10000,25
20131,1000,21
20131,2000,13
20131,3000,14
20131,4000,16
20131,5000,15
20131,6000,13
20131,7000,13
20131,8000,12
20131,9000,15
20131,10000,20
20131,11000,19
20131,12000,16
20279,2000,8
20279,10000,22
20285,1000,22
20285,10000,24
20293,2000,18
20293,10000,21
21790,1000,17
21790,2000,12
21790,3000,17
21790,10000,11
22316,1000,29
22316,10000,19
22322,1000,23
22322,10000,19
22344,2000,11
22344,3000,16
22344,4000,13
22344,5000,18
22344,6000,20
22344,10000,18
22367,1000,31
22367,2000,17
22367,3000,18
22367,10000,23
225,2000,17
225,3000,13
225,4000,20
225,5000,16
225,6000,21
225,7000,18
225,8000,19
225,10000,14
225,12000,19
22650,1000,29
22650,10000,23
22656,1000,21
22656,2000,15
22656,3000,15
22656,4000,16
22656,5000,18
22660,1000,18
22660,10000,17
22662,3000,20
22662,4000,24
22662,10000,30
22669,1000,23
22669,10000,15
22672,2000,30
22672,3000,28
22678,1000,17
22678,2000,21
22678,3000,19
22678,10000,19
22683,1000,24
22683,2000,24
22683,3000,22
22683,6000,19
22683,8000,27
22683,10000,29
22683,12000,27
22687,1000,20
22687,2000,13
22687,3000,7
22687,4000,11
22687,5000,13
22687,6000,10
22687,7000,14
22687,8000,17
22687,10000,17
22689,2000,13
22689,3000,13
22689,4000,12
22689,5000,13
22689,6000,11
22689,7000,10
22689,8000,9
22689,9000,15
22689,10000,23
22689,11000,9
22689,12000,14
22709,1000,27
22709,2000,15
22709,3000,20
22709,4000,17
22709,5000,26
22709,10000,20
22711,1000,16
22711,2000,18
22711,3000,11
22711,4000,17
22711,5000,15
22711,10000,19
22723,1000,13
22723,2000,15
22723,3000,17
22723,4000,17
22723,5000,16
22723,6000,17
22723,10000,15
22732,1000,29
22732,2000,19
22732,3000,15
22732,4000,23
22732,5000,12
22732,6000,11
22732,7000,13
22732,8000,15
22732,9000,15
22732,10000,22
22732,11000,19
22732,12000,23
22757,1000,25
22757,2000,19
22757,3000,17
22757,10000,15
22759,1000,34
22759,2000,13
22759,3000,16
22759,4000,11
22759,5000,15
22759,6000,11
22759,10000,27
22773,1000,26
22773,2000,11
22773,3000,12
22773,4000,9
22773,10000,21
22786,1000,31
22786,10000,21
22788,1000,21
22788,2000,16
22788,4000,18
22788,5000,20
22788,6000,17
22788,7000,14
22788,8000,12
22788,9000,26
22788,10000,19
22791,1000,23
22791,2000,10
22791,3000,13
22791,4000,20
22791,5000,17
22791,10000,12
22797,1000,30
22797,2000,17
22797,3000,18
22797,4000,18
22797,10000,23
22801,2000,9
22801,3000,16
22801,4000,18
22801,5000,19
22801,6000,16
22801,7000,12
22801,10000,21
22803,10000,18
22812,1000,25
22812,2000,20
22812,3000,17
22812,4000,15
22812,10000,17
22814,1000,30
22814,10000,16
22820,1000,26
22820,2000,7
22820,3000,10
22820,4000,11
22820,5000,20
22820,6000,20
22820,10000,21
22828,1000,25
22828,2000,21
22828,3000,20
22828,4000,19
22828,5000,17
22828,6000,21
22828,7000,20
22828,8000,17
22828,9000,17
22828,10000,24
22828,11000,11
22835,2000,10
22835,3000,14
22835,4000,11
22835,5000,15
22835,6000,16
22835,7000,11
22835,8000,12
22835,10000,20
22842,1000,28
22842,2000,15
22842,10000,18
22845,2000,15
22845,3000,13
22845,4000,11
22845,6000,16
22845,10000,26
22847,1000,26
22847,2000,11
22847,3000,11
22847,4000,15
22847,10000,17
22849,1000,33
22849,2000,16
22849,3000,14
22849,4000,17
22849,10000,16
22851,1000,25
22851,10000,28
22890,10000,15
22894,1000,23
22894,2000,21
22894,3000,23
22894,4000,17
22894,5000,19
22894,6000,18
22894,7000,17
22894,8000,18
22894,9000,13
22894,10000,17
22894,11000,16
22894,12000,15
22908,1000,32
22908,2000,23
22908,3000,25
22908,4000,22
22908,5000,27
22908,6000,26
22908,7000,23
22908,8000,21
22908,9000,19
22908,10000,24
22908,11000,24
22908,12000,22
22910,10000,27
22938,2000,17
22938,3000,18
22938,10000,20
22942,1000,34
22942,2000,13
22942,3000,12
22942,4000,13
22942,5000,16
22942,6000,17
22942,7000,15
22942,8000,10
22942,10000,27
22944,1000,33
22944,10000,27
22958,2000,9
22958,3000,12
22958,4000,11
22958,5000,11
22958,6000,11
22958,7000,13
22958,8000,13
22958,10000,24
22960,1000,35
22960,10000,34
22966,1000,21
22966,2000,6
22966,3000,7
22966,4000,8
22966,5000,10
22966,6000,10
22966,7000,7
22966,8000,9
22966,9000,13
22966,10000,18
22966,11000,10
22966,12000,11
22976,10000,22
22980,10000,31
22988,1000,33
22988,2000,15
22988,10000,31
23004,1000,24
23004,10000,18
23008,10000,25
24032,1000,31
24032,3000,49
24032,4000,29
24032,5000,33
24032,6000,33
24032,7000,37
24032,8000,29
24032,10000,38
24042,1000,27
24042,10000,17
24050,2000,12
24050,3000,16
24050,4000,16
24050,5000,8
24050,6000,17
24050,7000,20
24053,1000,25
24053,2000,13
24053,3000,10
24053,4000,18
24053,5000,15
24053,6000,16
24053,7000,16
24053,8000,11
24053,10000,25
24055,1000,35
24055,2000,20
24055,3000,22
24055,4000,21
24055,5000,24
24055,10000,23
24061,1000,25
24061,2000,12
24061,3000,11
24061,10000,23
24080,1000,22
24080,2000,20
24080,10000,25
24091,1000,23
24091,2000,17
24091,3000,15
24091,4000,19
24091,5000,13
24091,6000,16
24091,7000,19
24091,8000,18
24091,9000,16
24091,10000,22
24091,11000,12
24091,12000,15
24106,2000,16
24106,3000,18
24106,4000,15
24106,5000,19
24106,6000,16
24106,7000,15
24106,8000,19
24106,9000,23
24106,10000,28
24106,11000,21
24106,12000,21
24110,1000,13
24110,2000,8
24110,3000,10
24110,4000,12
24110,5000,15
24110,6000,17
24110,7000,12
24110,10000,15
24118,1000,19
24118,2000,8
24118,3000,9
24118,4000,19
24118,10000,18
24155,1000,16
24155,10000,17
24181,2000,22
24181,3000,23
24181,4000,13
24181,6000,13
24181,7000,18
24181,8000,19
24181,9000,24
24181,10000,24
24181,11000,16
24181,12000,14
24190,1000,29
24190,3000,21
24190,4000,17
24190,5000,19
24190,6000,16
24190,7000,19
24190,8000,15
24190,9000,13
24190,11000,13
24190,12000,13
24195,1000,20
24195,2000,15
24195,10000,21
24197,1000,17
24197,3000,11
24197,7000,12
24197,10000,19
24197,12000,13
24236,1000,27
24236,2000,15
24236,3000,16
24236,4000,23
24236,10000,18
24303,1000,21
24303,10000,19
24312,10000,13
24317,1000,25
24317,10000,18
24319,1000,18
24319,10000,10
24321,1000,21
24321,10000,23
24323,1000,16
24323,2000,13
24323,3000,12
24323,4000,11
24323,10000,14
24348,1000,20
24348,2000,13
24348,3000,18
24348,4000,17
24348,5000,21
24348,10000,17
24390,10000,29
24410,2000,24
24410,3000,21
24410,4000,18
24410,5000,26
24410,6000,20
24410,7000,31
24410,8000,23
24410,10000,30
24414,1000,29
24414,2000,24
24414,10000,23
24467,10000,28
24593,1000,48
24593,10000,22
24840,10000,48
24861,1000,36
24861,10000,30
24863,1000,23
24863,2000,16
24863,3000,18
24863,4000,14
24863,5000,13
24863,6000,15
24863,10000,23
24867,2000,17
24867,3000,26
24867,4000,23
24867,5000,32
24867,6000,27
24867,10000,26
24956,1000,23
24956,2000,17
24956,3000,17
24956,4000,14
24956,5000,10
24956,6000,15
24956,7000,12
24956,8000,16
24956,9000,15
24956,10000,21
24956,11000,12
24956,12000,9
24966,10000,17
24996,1000,23
24996,2000,22
24996,10000,25
25163,2000,21
25163,3000,20
25163,4000,21
25163,5000,17
25163,6000,19
25163,8000,20
25163,10000,27
25163,11000,20
25163,12000,19
25285,1000,22
25285,2000,15
25285,3000,18
25285,4000,15
25285,5000,10
25285,6000,11
25285,7000,18
25285,8000,16
25285,9000,16
25285,10000,21
25318,1000,31
25318,2000,25
25318,3000,20
25318,4000,19
25318,10000,22
25344,1000,26
25344,2000,20
25344,3000,18
25344,4000,25
25344,5000,25
25344,6000,26
25344,7000,21
25344,8000,17
25344,10000,20
25370,1000,25
