dataset_id,age,richness
1002,1000,20
1002,2000,19
1002,3000,17
1002,11000,18
1002,13000,19
1002,14000,17
1002,15000,17
1002,16000,15
1002,17000,17
1002,18000,15
1002,19000,16
1002,20000,16
1002,21000,19
1003,1000,6
1003,2000,5
1003,3000,4
1003,4000,5
1003,5000,4
1003,6000,4
1003,7000,3
1003,8000,4
1003,9000,4
1003,10000,4
1003,11000,5
1003,13000,5
1003,14000,4
1003,15000,4
1003,16000,4
1003,17000,4
1003,18000,4
1003,19000,5
1003,20000,5
1003,21000,4
1006,1000,6
1006,2000,5
1006,3000,4
1006,4000,3
1006,5000,4
1006,6000,4
1006,7000,4
1006,13000,6
1006,14000,5
1006,15000,5
1006,16000,5
1006,17000,5
1006,18000,5
1006,19000,6
1006,20000,5
1013,1000,6
1013,2000,5
1013,4000,4
1013,5000,6
1013,6000,7
1013,7000,9
1013,9000,5
1013,13000,5
1013,14000,3
1013,15000,3
1013,16000,5
1013,18000,4
1013,19000,4
1013,21000,3
1030,1000,9
1030,2000,9
1030,3000,10
1030,4000,8
1030,5000,11
1030,6000,9
1030,7000,10
1030,8000,10
1030,9000,10
1030,10000,10
1030,11000,9
1030,13000,10
1030,14000,7
1030,15000,9
1030,16000,8
1030,17000,10
1030,18000,5
1030,19000,5
1030,20000,9
1030,21000,9
1104,1000,5
1104,2000,5
1104,3000,5
1104,4000,3
1104,5000,3
1104,6000,3
1104,7000,3
1104,11000,7
1104,13000,6
1104,14000,5
1104,15000,5
1104,16000,4
1104,17000,6
1104,18000,4
1104,19000,4
1104,20000,6
1104,21000,6
1148,1000,7
1148,2000,13
1148,3000,10
1148,4000,14
1148,5000,9
1148,6000,7
1148,11000,14
1148,13000,14
1148,14000,14
1148,15000,16
1148,16000,12
1148,17000,13
1148,18000,12
1148,19000,12
1148,20000,10
1148,21000,14
1160,1000,21
1160,2000,18
1160,3000,19
1160,4000,18
1160,5000,16
1160,6000,13
1160,7000,13
1160,8000,14
1160,9000,13
1160,10000,13
1160,11000,14
1160,13000,18
1160,14000,18
1160,15000,16
1160,16000,17
1160,17000,19
1160,18000,19
1160,19000,15
1160,20000,17
1160,21000,17
1390,1000,5
1390,2000,6
1390,3000,4
1390,4000,3
1390,5000,5
1390,6000,4
1390,7000,5
1390,8000,5
1390,10000,4
1390,11000,4
1390,13000,4
1390,14000,4
1390,15000,4
1390,16000,5
1390,17000,4
1390,18000,5
1390,19000,5
1390,20000,5
1390,21000,5
1432,1000,6
1432,2000,5
1432,4000,3
1432,6000,3
1432,8000,5
1432,9000,5
1432,10000,4
1432,11000,5
1432,13000,5
1432,14000,5
1432,15000,5
1432,16000,5
1432,17000,5
1432,18000,4
1432,19000,4
1432,21000,6
1445,1000,7
1445,2000,3
1445,3000,5
1445,4000,4
1445,11000,6
1445,13000,7
1445,14000,7
1445,15000,8
1445,16000,7
1445,17000,7
1445,18000,8
1445,19000,7
1445,20000,5
1445,21000,6
1448,1000,21
1448,2000,18
1448,3000,14
1448,4000,16
1448,5000,12
1448,6000,14
1448,7000,13
1448,8000,11
1448,11000,21
1448,13000,20
1448,14000,20
1448,15000,19
1448,16000,20
1448,17000,19
1448,18000,17
1448,19000,14
1448,20000,14
1448,21000,21
14549,1000,8
14549,2000,7
14549,3000,9
14549,4000,5
14549,5000,4
14549,6000,6
14549,11000,8
14549,13000,7
14549,14000,7
14549,15000,8
14549,16000,6
14549,17000,7
14549,18000,6
14549,19000,8
14549,20000,7
14549,21000,10
14792,1000,8
14792,2000,7
14792,3000,7
14792,4000,7
14792,5000,8
14792,11000,8
14792,13000,6
14792,14000,9
14792,15000,7
14792,16000,10
14792,17000,8
14792,18000,9
14792,19000,7
14792,20000,8
14792,21000,8
14803,1000,6
14803,2000,9
14803,3000,8
14803,4000,4
14803,5000,7
14803,11000,7
14803,13000,6
14803,14000,7
14803,15000,10
14803,16000,8
14803,17000,9
14803,18000,9
14803,19000,8
14803,20000,8
14803,21000,8
14884,1000,10
14884,2000,7
14884,3000,6
14884,4000,5
14884,11000,10
14884,13000,9
14884,14000,7
14884,15000,7
14884,16000,7
14884,17000,8
14884,18000,8
14884,19000,8
14884,20000,7
14884,21000,6
14923,1000,8
14923,2000,7
14923,3000,8
14923,4000,9
14923,5000,8
14923,11000,8
14923,13000,8
14923,14000,6
14923,15000,8
14923,16000,9
14923,17000,8
14923,18000,8
14923,20000,7
14923,21000,7
14944,1000,7
14944,2000,3
14944,3000,4
14944,4000,9
14944,11000,6
14944,14000,4
14944,16000,3
14944,17000,4
14944,18000,5
14944,19000,3
14944,20000,4
14944,21000,8
14951,1000,10
14951,2000,3
14951,3000,9
14951,4000,11
14951,11000,8
14951,13000,11
14951,14000,6
14951,15000,10
14951,16000,6
14951,17000,6
14951,18000,7
14951,19000,11
14951,20000,10
14951,21000,10
15088,1000,18
15088,2000,18
15088,4000,17
15088,5000,20
15088,6000,17
15088,7000,12
15088,8000,14
15088,9000,9
15088,10000,14
15088,11000,15
15088,14000,19
15088,16000,17
15088,18000,19
15136,1000,16
15136,2000,12
15136,3000,12
15136,11000,15
15136,13000,12
15136,14000,12
15136,15000,12
15136,16000,12
15136,17000,12
15136,18000,14
15136,19000,15
15136,20000,14
15136,21000,14
15142,1000,22
15142,2000,17
15142,3000,11
15142,4000,15
15142,5000,13
15142,11000,22
15142,13000,24
15142,14000,25
15142,15000,23
15142,16000,17
15142,17000,21
15142,18000,15
15142,19000,17
15142,20000,20
15142,21000,16
15185,1000,6
15185,2000,2
15185,3000,2
15185,4000,3
15185,11000,5
15185,13000,5
15185,14000,5
15185,15000,5
15185,16000,5
15185,17000,6
15185,18000,6
15185,19000,6
15185,20000,3
15185,21000,5
15189,1000,5
15189,2000,4
15189,3000,3
15189,4000,3
15189,5000,3
15189,11000,5
15189,13000,4
15189,14000,5
15189,15000,5
15189,16000,5
15189,17000,6
15189,18000,5
15189,19000,4
15189,20000,5
15189,21000,4
1520,1000,16
1520,2000,16
1520,3000,13
1520,4000,10
1520,11000,16
1520,13000,14
1520,14000,14
1520,15000,14
1520,16000,16
1520,17000,15
1520,18000,16
1520,19000,16
1520,20000,17
1520,21000,15
15201,1000,3
15201,2000,3
15201,3000,4
15201,4000,6
15201,11000,4
15201,14000,5
15201,15000,3
15201,16000,3
15201,17000,4
15201,18000,4
15201,19000,3
15201,20000,4
15201,21000,3
1523,1000,11
1523,2000,11
1523,3000,12
1523,4000,9
1523,5000,11
1523,6000,11
1523,7000,7
1523,8000,7
1523,11000,8
1523,13000,10
1523,14000,10
1523,15000,9
1523,16000,9
1523,17000,11
1523,18000,12
1523,19000,13
1523,20000,13
1523,21000,10
15244,1000,23
15244,2000,20
15244,3000,19
15244,4000,18
15244,5000,20
15244,11000,19
15244,13000,17
15244,14000,15
15244,15000,14
15244,16000,16
15244,17000,16
15244,18000,14
15244,19000,12
15244,20000,19
15244,21000,22
15292,1000,23
15292,2000,12
15292,3000,9
15292,11000,16
15292,13000,19
15292,14000,18
15292,15000,17
15292,16000,13
15292,17000,13
15292,18000,14
15292,20000,14
15292,21000,20
15302,1000,20
15302,2000,15
15302,3000,11
15302,4000,15
15302,11000,20
15302,13000,20
15302,14000,21
15302,15000,20
15302,16000,19
15302,17000,20
15302,18000,19
15302,19000,20
15302,20000,18
15302,21000,20
15325,1000,22
15325,2000,13
15325,3000,14
15325,4000,13
15325,5000,18
