neotoma_names,is_plant
Poaceae undiff.,TRUE
Polygonum sensu lato,TRUE
Shepherdia,TRUE
Aconitum,TRUE
Alnus viridis,TRUE
Alnus viridis,TRUE
Boraginaceae,TRUE
Ericales,TRUE
Gentiana,TRUE
Micranthes hieraciifolia,TRUE
Pedicularis langsdorffii,TRUE
Pedicularis verticillata,TRUE
Rubus chamaemorus,TRUE
Saxifraga cernua,TRUE
Saxifraga tricuspidata,TRUE
Saxifragaceae undiff.,TRUE
Valeriana,TRUE
Astragalus,TRUE
Bistorta officinalis,TRUE
Dryas,TRUE
Linnaea borealis,TRUE
Oxytropis,TRUE
Rubus arcticus,TRUE
Saussurea,TRUE
Urtica,TRUE
Eucalyptus,TRUE
Ranunculaceae,TRUE
Saxifraga oppositifolia,TRUE
Valerianoideae,TRUE
Asteraceae,TRUE
Cornaceae,TRUE
Gentianaceae,TRUE
Rubiaceae,TRUE
Sapindaceae,TRUE
Tsuga heterophylla,TRUE
Tsuga mertensiana,TRUE
Alnus viridis subsp. crispa,TRUE
Betulaceae undiff.,TRUE
Elaeagnaceae undiff.,TRUE
Lamium,TRUE
Penstemon,TRUE
Phlox,TRUE
Plantaginaceae undiff.,TRUE
Polygonum,TRUE
Populus balsamifera,TRUE
Populus tremuloides,TRUE
Populus undiff.,TRUE
Caprifoliaceae sensu lato,TRUE
Claytonia,TRUE
Polemoniaceae undiff.,TRUE
Diapensia,TRUE
Empetrum,TRUE
Allium,TRUE
Anemone canadensis-type,TRUE
Chamaecrista,TRUE
Cornus sericea-type,TRUE
Ephedra trifurca-type,TRUE
Humulus,TRUE
Hydrophyllum,TRUE
Hypoxis,TRUE
Liliaceae undiff.,TRUE
Lilium philadelphicum-type,TRUE
Lysimachia thyrsiflora,TRUE
Lythrum,TRUE
Parietaria,TRUE
Pinaceae undiff.,TRUE
Pinus subg. Strobus undiff.,TRUE
Ranunculaceae (tricolpate),TRUE
Tidestromia,TRUE
Viburnum lentago,TRUE
Zea mays,TRUE
Zigadenus,TRUE
Calluna vulgaris,TRUE
Carpinus,TRUE
Centaurea cyanus,TRUE
Fagopyrum,TRUE
Frangula alnus,TRUE
Hedera,TRUE
Plantago lanceolata,TRUE
Plantago media,TRUE
Viscum,TRUE
Calluna,TRUE
Campanula,TRUE
Circaea,TRUE
Crataegus,TRUE
Filipendula,TRUE
Helianthemum,TRUE
Lactuca,TRUE
Lythrum salicaria,TRUE
Melampyrum,TRUE
Narthecium,TRUE
Plantago undiff.,TRUE
Polygala,TRUE
Pulmonaria obscura-type,TRUE
Rhinanthus,TRUE
Rumex acetosa,TRUE
Rumex acetosella,TRUE
Rumex obtusifolius,TRUE
Rumex undiff.,TRUE
Scabiosa,TRUE
Sorbus,TRUE
Succisa,TRUE
Ulex,TRUE
Armeria,TRUE
Centaurea,TRUE
Chenopodiaceae sensu stricto,TRUE
Faboideae,TRUE
Gentianella,TRUE
Geraniaceae,TRUE
Hypericum,TRUE
Plantago maritima,TRUE
Prunella,TRUE
Pterocarya,TRUE
Trifolium,TRUE
Verbenaceae,TRUE
Betula nana-type,TRUE
Ericales undiff.,TRUE
Plantago major/P. media,TRUE
Rumex subg. Acetosa,TRUE
Abies alba,TRUE
Bistorta officinalis-type,TRUE
Cardamine pratensis-type,TRUE
Carpinus betulus,TRUE
Centaurea scabiosa,TRUE
Chamaenerion angustifolium,TRUE
Chrysosplenium,TRUE
Corylus avellana,TRUE
Echium,TRUE
Ephedra foeminea-type,TRUE
Euonymus,TRUE
Fagus sylvatica,TRUE
Larix decidua,TRUE
Lysimachia vulgaris-type,TRUE
Parnassia palustris,TRUE
Persicaria maculosa-type,TRUE
Picea abies,TRUE
Pleurospermum,TRUE
Polygonum aviculare,TRUE
Ranunculus arvensis-type,TRUE
Rumex acetosa-type,TRUE
Sambucus nigra-type,TRUE
Sanguisorba officinalis,TRUE
Trifolium pratense-type,TRUE
Viburnum undiff.,TRUE
Betula nana,TRUE
Dryas octopetala,TRUE
Hippophaë,TRUE
Mercurialis,TRUE
Portulaca,TRUE
Secale,TRUE
Triticum,TRUE
Acer platanoides,TRUE
Alnus glutinosa,TRUE
Caryophyllaceae undiff.,TRUE
Convolvulaceae,TRUE
Echinops,TRUE
Fagopyrum esculentum,TRUE
Fagopyrum tataricum,TRUE
Fagopyrum undiff.,TRUE
Hippophaë rhamnoides,TRUE
Knautia arvensis,TRUE
Pinus sylvestris,TRUE
Plumbaginaceae,TRUE
Thalictrum aquilegiifolium,TRUE
Thalictrum lucidum,TRUE
Thalictrum undiff.,TRUE
Ulmus glabra,TRUE
Ulmus laevis,TRUE
Ulmus minor,TRUE
Vitis vinifera,TRUE
Anemone,TRUE
Arctium,TRUE
Hypericaceae,TRUE
Matricaria,TRUE
Tilia platyphyllos,TRUE
Koenigia,TRUE
Medicago,TRUE
Tilia cordata,TRUE
Arbutus unedo,TRUE
Armeria maritima (type A),TRUE
Empetrum nigrum,TRUE
Erica tetralix,TRUE
Fraxinus excelsior,TRUE
Hedera helix,TRUE
Ilex aquifolium,TRUE
Juglans regia,TRUE
Lonicera periclymenum,TRUE
Narthecium ossifragum,TRUE
Plantago coronopus,TRUE
Plantago lanceolata-type,TRUE
Plantago uniflora,TRUE
Plantago uniflora,TRUE
Plantago uniflora,TRUE
Potentilla undiff.,TRUE
Saxifraga,TRUE
Sedum,TRUE
Taxus baccata,TRUE
Teucrium,TRUE
Urtica dioica,TRUE
Vaccinium,TRUE
Vicia,TRUE
Ranunculus lingua,TRUE
Buxus,TRUE
Cannabis,TRUE
Ligustrum,TRUE
Polygonum oxyspermum subsp. raii,TRUE
Ranunculus acris,TRUE
Stachys,TRUE
Valerianella,TRUE
Anchusa,TRUE
Daphne,TRUE
Frangula,TRUE
Geranium,TRUE
Linum catharticum,TRUE
Olea,TRUE
Papaver,TRUE
Phillyrea,TRUE
Pistacia,TRUE
Quercus ilex,TRUE
Adonis aestivalis,TRUE
Anagallis,TRUE
Anarrhinum,TRUE
Anthemis,TRUE
Aster,TRUE
Centranthus,TRUE
Erica arborea,TRUE
Erica australis,TRUE
Erica umbellata,TRUE
Fumana,TRUE
Herniaria,TRUE
Lithospermum,TRUE
Lotus,TRUE
Mentha,TRUE
Onobrychis,TRUE
Paronychia,TRUE
Serratula,TRUE
Sinapis,TRUE
Trollius,TRUE
Cannabis sativa,TRUE
Cornus sanguinea,TRUE
Ericaceae undiff.,TRUE
Iris,TRUE
Lathyrus,TRUE
Linum,TRUE
Malva,TRUE
Polygonaceae,TRUE
Rhamnus cathartica,TRUE
Sambucus nigra,TRUE
Secale cereale,TRUE
Viola,TRUE
Aesculus,TRUE
Avena,TRUE
Eryngium,TRUE
Helleborus,TRUE
Heracleum sphondylium,TRUE
Hordeum,TRUE
Jasione,TRUE
Lobelia,TRUE
Oxyria,TRUE
