taxon_name,level_1
apocynaceae_type_b,apocynaceae_type_b
apocynaceae_type_c,apocynaceae_type_c
apocynaceae_type_tetraporate,apocynaceae_type_tetraporate
apocynaceae_undiff,apocynaceae_undiff
apodasmia,apodasmia
apoplanesia,apoplanesia
apuleia,apuleia
apuleia_leiocarpa,apuleia_leiocarpa
apuleia_type,apuleia_type
aquifoliaceae_undiff,aquifoliaceae_undiff
araceae,araceae
araceae_cf_anthurium_type,araceae_cf_anthurium_type
araceae_sulcate,araceae_sulcate
araceae_type_1,araceae_type_1
araceae_type_2,araceae_type_2
araceae_type_3,araceae_type_3
araceae_type_i,araceae_type_i
araceae_type_ii,araceae_type_ii
araceae_undiff,araceae_undiff
aragoa,aragoa
aralia,aralia
araliaceae,araliaceae
araliaceae_cf_didymopanax,araliaceae_cf_didymopanax
araliaceae_cf_oreopanax,araliaceae_cf_oreopanax
araliaceae_type_1,araliaceae_type_1
araliaceae_type_2,araliaceae_type_2
araliaceae_undiff,araliaceae_undiff
araucaria,araucaria
araucaria_angustifolia,araucaria_angustifolia
arceuthobium,arceuthobium
arcytophyllum,arcytophyllum
ardisia,ardisia
arecaceae,arecaceae
arecaceae_bromeliaceae,arecaceae_bromeliaceae
arecaceae_cf_desmoncus,arecaceae_cf_desmoncus
arecaceae_cf_euterpe,arecaceae_cf_euterpe
arecaceae_cf_geonoma,arecaceae_cf_geonoma
arecaceae_cf_oenocarpus,arecaceae_cf_oenocarpus
arecaceae_cf_phytelephas,arecaceae_cf_phytelephas
arecaceae_echinate,arecaceae_echinate
arecaceae_monocolpate,arecaceae_monocolpate
arecaceae_pro_parte,arecaceae_pro_parte
arecaceae_reticulate,arecaceae_reticulate
arecaceae_tricolpate,arecaceae_tricolpate
arecaceae_type,arecaceae_type
arecaceae_type_1,arecaceae_type_1
arecaceae_type_2,arecaceae_type_2
arecaceae_type_3,arecaceae_type_3
arecaceae_type_5,arecaceae_type_5
arecaceae_type_a,arecaceae_type_a
arecaceae_type_b,arecaceae_type_b
arecaceae_type_c,arecaceae_type_c
arecaceae_type_d,arecaceae_type_d
arecaceae_type_i,arecaceae_type_i
arecaceae_type_ii,arecaceae_type_ii
arecaceae_type_iii,arecaceae_type_iii
arecaceae_type_iv,arecaceae_type_iv
arecaceae_type_v,arecaceae_type_v
arecaceae_undiff,arecaceae_undiff
arenaria,arenaria
aristolochia,aristolochia
aristotelia,aristotelia
aristotelia_chilensis,aristotelia_chilensis
arjona,arjona
armeria,armeria
armeria_type,armeria_type
arrabidaea,arrabidaea
arrabidaea_type,arrabidaea_type
arrabidaea_type_1,arrabidaea_type_1
arrabidaea_type_2,arrabidaea_type_2
artemisia,artemisia
artemisia_gochnatia,artemisia_gochnatia
artemisia_type,artemisia_type
asclepiadeae,asclepiadeae
aspidosperma,aspidosperma
aspidosperma_aff_a_album,aspidosperma_aff_a_album
aspidosperma_type,aspidosperma_type
aspilia,aspilia
astelia_pumila,astelia_pumila
asteraceae,asteraceae
asteraceae_baculate,asteraceae_baculate
asteraceae_cf_mutisia,asteraceae_cf_mutisia
asteraceae_cf_perezia,asteraceae_cf_perezia
asteraceae_clavate,asteraceae_clavate
asteraceae_high_spine,asteraceae_high_spine
asteraceae_large,asteraceae_large
asteraceae_low_spine,asteraceae_low_spine
asteraceae_type_1,asteraceae_type_1
asteraceae_undiff,asteraceae_undiff
asterales,asterales
asteroideae,asteroideae
asteroideae_high_spine,asteroideae_high_spine
asteroideae_long_spine,asteroideae_long_spine
asteroideae_low_spine,asteroideae_low_spine
asteroideae_short_spine,asteroideae_short_spine
asteroideae_type_i,asteroideae_type_i
asteroideae_type_ii,asteroideae_type_ii
asteroideae_undiff,asteroideae_undiff
astrocaryum,astrocaryum
astronium,astronium
astronium_concinnum,astronium_concinnum
astronium_fraxinifolium,astronium_fraxinifolium
astronium_fraxinifolium_type_3,astronium_fraxinifolium_type_3
astronium_fraxinifolium_type_5,astronium_fraxinifolium_type_5
astronium_type,astronium_type
austrocedrus,austrocedrus
austrocedrus_chilensis_type,austrocedrus_chilensis_type
avicennia,avicennia
avicennia_germinans,avicennia_germinans
ayenia,ayenia
azara,azara
azorella,azorella
baccharis,baccharis
baccharis_type,baccharis_type
bactris,bactris
bactris_type,bactris_type
balanophoraceae_cf_langsdorffia,balanophoraceae_cf_langsdorffia
balbisia,balbisia
balfourodendron,balfourodendron
banara,banara
banara_guianensis,banara_guianensis
banara_type,banara_type
banara_xylosma,banara_xylosma
banara_xylosma_type,banara_xylosma_type
banisteriopsis,banisteriopsis
bartsia_type,bartsia_type
bathysa,bathysa
batis,batis
bauhinia,bauhinia
bauhinia_bicuspidata_type,bauhinia_bicuspidata_type
bauhinia_type,bauhinia_type
begonia,begonia
begonia_fischeri,begonia_fischeri
begonia_guaduensis,begonia_guaduensis
begonia_type,begonia_type
begonia_undiff,begonia_undiff
