taxon_name,level_1
arecaceae_mauritius_type_132b_de_boer,arecaceae_mauritius_type_132b_de_boer
arecaceae_type_mauritius_type_127_de_boer,arecaceae_type_mauritius_type_127_de_boer
arecaceae_type_mauritius_type_137_de_boer,arecaceae_type_mauritius_type_137_de_boer
arecaceae_type_mauritius_type_139_de_boer,arecaceae_type_mauritius_type_139_de_boer
arecaceae_type_tetrad_mauritius_type_2_de_boer,arecaceae_type_tetrad_mauritius_type_2_de_boer
arecaceae_undiff,arecaceae_undiff
argania_spinosa,argania_spinosa
argyranthemum,argyranthemum
argyrella_type_canescens,argyrella_type_canescens
armeria,armeria
arnebia,arnebia
arnebia_hispidissima_type,arnebia_hispidissima_type
artemisia,artemisia
artemisia_afra,artemisia_afra
artemisia_herba_minus_alba,artemisia_herba_minus_alba
artemisia_type,artemisia_type
arthrocaulon_type,arthrocaulon_type
ascarina,ascarina
asclepiadeae,asclepiadeae
asclepiadoideae,asclepiadoideae
ascolepis,ascolepis
ascolepis_type,ascolepis_type
asparagus,asparagus
asparagus_buchananii_type,asparagus_buchananii_type
asparagus_type,asparagus_type
asphodeline,asphodeline
asphodelus,asphodelus
aster,aster
aster_type,aster_type
asteraceae,asteraceae
asteraceae_echinate,asteraceae_echinate
asteraceae_fenestrate,asteraceae_fenestrate
asteraceae_high_spine,asteraceae_high_spine
asteraceae_undiff,asteraceae_undiff
asteraceae_undiff_type_2,asteraceae_undiff_type_2
asteroideae,asteroideae
asteroideae_undiff,asteroideae_undiff
astragalus_type,astragalus_type
astripomoea,astripomoea
astropanax_abyssinicus,astropanax_abyssinicus
astropanax_barteri,astropanax_barteri
astropanax_goetzenii_type,astropanax_goetzenii_type
astropanax_mannii_type,astropanax_mannii_type
astropanax_myrianthus,astropanax_myrianthus
asystasia,asystasia
asystasia_gangetica,asystasia_gangetica
asystasia_gangetica_type,asystasia_gangetica_type
atractylis,atractylis
atractylis_type,atractylis_type
atriplex_type,atriplex_type
avicennia,avicennia
azima_tetracantha,azima_tetracantha
azorella,azorella
baikiaea,baikiaea
baissea,baissea
bakerella,bakerella
bakerella_socratina_type,bakerella_socratina_type
balanites,balanites
balanites_aegyptiaca_type,balanites_aegyptiaca_type
balanites_rotudinfolia_type,balanites_rotudinfolia_type
balanites_wilsoniana,balanites_wilsoniana
baphia_type,baphia_type
baphiopsis,baphiopsis
baphiopsis_parviflora,baphiopsis_parviflora
baphiopsis_type_parviflora,baphiopsis_type_parviflora
barbeya_oleoides,barbeya_oleoides
barbeyaceae,barbeyaceae
barleria,barleria
barringtonia,barringtonia
basella,basella
basella_alba_type,basella_alba_type
basilicum,basilicum
basilicum_polystachyon_hoslundia_opposita,basilicum_polystachyon_hoslundia_opposita
basilicum_type,basilicum_type
basilicum_type_b_polystachyon,basilicum_type_b_polystachyon
basilicum_type_polystachyon,basilicum_type_polystachyon
bauhinia,bauhinia
begonia,begonia
