Taxon_Name_Neotoma,Ondrej_ID,Taxon_ID,Higher_Taxon1_Neotoma,Higher_Taxon2_Neotoma,taxon_name,NsitesInNA,Notes,...9,...10
Urtica dioica-type,NA,3602,Urtica-type,Urticaceae,Urticaceae,NA,NA,NA,NA
Urticaceae,NA,464,Urticalean Rosids,Rosales,Urticaceae,NA,NA,NA,NA
Urticaceae undiff.,NA,315,Urticaceae,Urticalean Rosids,Urticaceae,NA,NA,NA,NA
Urticaceae/Moraceae,NA,2864,Urticalean Rosids,Rosales,skip,NA,NA,NA,NA
Urticalean Rosids,1438,NA,NA,NA,skip,NA,NA,NA,NA
Urticalean Rosids undiff.,NA,29635,Urticalean Rosids incertae sedis,Urticalean Rosids,skip,NA,NA,NA,NA
Vaccinium,NA,317,Ericaceae subf. Vaccinioideae,Ericaceae,Vaccinium,NA,NA,NA,NA
Vaccinium-type,NA,1173,Ericaceae,Ericales,Vaccinium,NA,NA,NA,NA
Vaccinium angustifolium-type,NA,764,Vaccinium,Ericaceae subf. Vaccinioideae,Vaccinium,NA,NA,NA,NA
Vaccinium macrocarpon-type,NA,766,Vaccinium,Ericaceae subf. Vaccinioideae,Vaccinium,NA,NA,NA,NA
Vaccinium oxycoccos,NA,767,Vaccinium sect. Oxycoccus,Vaccinium,Vaccinium,NA,NA,NA,NA
Vaccinium uliginosum,NA,NA,NA,NA,Vaccinium,NA,NA,NA,NA
Vaccinium uliginosum-type,NA,765,Vaccinium,Ericaceae subf. Vaccinioideae,Vaccinium,NA,NA,NA,NA
Vaccinium undiff.,NA,1219,Vaccinium,Ericaceae subf. Vaccinioideae,Vaccinium,NA,NA,NA,NA
Valeriana,NA,318,Valeriana/Valerianella,Caprifoliaceae subf. Valerianoideae,Valeriana,85,NA,NA,NA
Valeriana-type,NA,527,Caprifoliaceae subf. Valerianoideae,Caprifoliaceae,Valeriana,NA,NA,NA,NA
Valeriana sitchensis,NA,5775,Valeriana,Valeriana/Valerianella,Valeriana,NA,NA,NA,NA
Valerianella-type,NA,2971,Caprifoliaceae subf. Valerianoideae,Caprifoliaceae,Caprifoliaceae undiff.,NA,NA,NA,NA
Valerianoideae,1451,NA,NA,NA,skip,NA,not in Neotoma,NA,NA
Veratrum,NA,5151,Melanthiaceae,Liliales,Melanthiaceae,2,NA,NA,NA
Verbascum-type,NA,4965,Scrophulariaceae,Lamiales,Scrophulariaceae,1,NA,NA,NA
Verbena,NA,500,Verbenaceae,Lamiales,Verbenaceae,11,NA,NA,NA
Verbenaceae,NA,1138,Lamiales,Lamiidae,Verbenaceae,7,NA,NA,NA
Veronica,NA,2795,Plantaginaceae,Lamiales,Plantaginaceae undiff.,4,NA,NA,NA
Veronica-type,NA,3430,Plantaginaceae,Lamiales,Plantaginaceae undiff.,2,NA,NA,NA
Viburnum,NA,397,Adoxaceae,Dipsacales,Viburnum,NA,NA,NA,NA
Viburnum-type,NA,3603,Eudicotyledoneae incertae sedis,Eudicotyledoneae,Viburnum,NA,NA,NA,NA
Viburnum acerifolium-type,NA,944,Viburnum,Adoxaceae,Viburnum,NA,NA,NA,NA
Viburnum alnifolium,NA,768,Viburnum,Adoxaceae,Viburnum,NA,NA,NA,NA
Viburnum edule,NA,770,Viburnum,Adoxaceae,Viburnum,NA,NA,NA,NA
Viburnum lentago,NA,396,Viburnum,Adoxaceae,Viburnum,NA,NA,NA,NA
Viburnum lentago-type,NA,945,Viburnum,Adoxaceae,Viburnum,NA,NA,NA,NA
Viburnum nudum,NA,793,Viburnum,Adoxaceae,Viburnum,NA,NA,NA,NA
Viburnum opulus,NA,794,Viburnum,Adoxaceae,Viburnum,NA,NA,NA,NA
Viburnum opulus-type,NA,795,Viburnum,Adoxaceae,Viburnum,NA,NA,NA,NA
Viburnum rafinesquianum-type,NA,398,Viburnum,Adoxaceae,Viburnum,NA,NA,NA,NA
Viburnum undiff.,NA,319,Viburnum,Adoxaceae,Viburnum,NA,NA,NA,NA
Vicia,NA,2938,Fabaceae subf. Faboideae,Fabaceae,Fabaceae undiff.,3,scattered,NA,NA
Vicia-type,NA,808,Fabaceae subf. Faboideae,Fabaceae,Fabaceae undiff.,7,scattered,NA,NA
Vigna,NA,2504,Fabaceae subf. Faboideae,Fabaceae,Fabaceae undiff.,4,coastal S US,NA,NA
Viola,NA,332,Violaceae,Malpighiales,Viola,19,NA,NA,NA
Violaceae,NA,2313,Malpighiales,Fabidae,Violaceae undiff.,10,NA,NA,NA
Viscaceae sensu stricto,NA,165,Viscaceae sensu stricto/Loranthaceae,Santalales,Viscaceae,NA,NA,NA,NA
Viscaceae sensu stricto undiff.,NA,1210,Viscaceae sensu stricto,Viscaceae sensu stricto/Loranthaceae,Viscaceae,NA,NA,NA,NA
Vitaceae,NA,1108,Vitales,Pentapetalae,skip,NA,NA,NA,NA
Vitis,NA,320,Vitaceae,Vitales,Vitis,NA,NA,NA,NA
Vitis riparia,NA,3158,Vitis,Vitaceae,Vitis,NA,NA,NA,NA
