taxon_name,level_1
caprifoliaceae,caprifoliaceae
caprifoliaceae_sensu_lato_undiff,caprifoliaceae_sensu_lato_undiff
caprifoliaceae_undiff,caprifoliaceae_undiff
capsella_type,capsella_type
cardamine,cardamine
carduoideae,carduoideae
carduoideae_type,carduoideae_type
carduus,carduus
carduus_type,carduus_type
carex,carex
carex_type,carex_type
carpesium_type,carpesium_type
carpinus,carpinus
carpinus_betulus,carpinus_betulus
carpinus_betulus_type,carpinus_betulus_type
carpinus_cordata,carpinus_cordata
carpinus_orientalis,carpinus_orientalis
carpinus_tschonoskii,carpinus_tschonoskii
carpinus_type,carpinus_type
carthamus,carthamus
carthamus_type,carthamus_type
carya,carya
carya_type,carya_type
caryophyllaceae,caryophyllaceae
caryophyllaceae_undiff,caryophyllaceae_undiff
cassiope,cassiope
castanea,castanea
castanea_castanopsis,castanea_castanopsis
castanea_sativa,castanea_sativa
castanopsis,castanopsis
casuarina,casuarina
catalpa,catalpa
cedrus,cedrus
cedrus_broken,cedrus_broken
cedrus_crumpled,cedrus_crumpled
cedrus_degraded,cedrus_degraded
celastraceae,celastraceae
celtis,celtis
celtis_aphananthe,celtis_aphananthe
celtis_australis,celtis_australis
centaurea,centaurea
centaurea_alpina,centaurea_alpina
centaurea_cyanus,centaurea_cyanus
centaurea_cyanus_type,centaurea_cyanus_type
centaurea_jacea,centaurea_jacea
centaurea_jacea_type,centaurea_jacea_type
centaurea_montana,centaurea_montana
centaurea_montana_type,centaurea_montana_type
centaurea_nigra,centaurea_nigra
centaurea_nigra_type,centaurea_nigra_type
centaurea_scabiosa,centaurea_scabiosa
centaurea_scabiosa_type,centaurea_scabiosa_type
centaurea_solstitialis,centaurea_solstitialis
centaurea_solstitialis_type,centaurea_solstitialis_type
centaurea_type,centaurea_type
centaurea_undiff,centaurea_undiff
centranthus,centranthus
cephalaria,cephalaria
cerastium,cerastium
cerastium_arvense_type,cerastium_arvense_type
cerastium_cerastoides_type,cerastium_cerastoides_type
cerastium_type,cerastium_type
ceratocephala,ceratocephala
ceratocephala_type,ceratocephala_type
ceratonia,ceratonia
ceratonia_siliqua,ceratonia_siliqua
cercis,cercis
cerinthe,cerinthe
cerinthe_type,cerinthe_type
cf_abies,cf_abies
cf_acantholimon,cf_acantholimon
cf_aconitum,cf_aconitum
cf_adonis,cf_adonis
cf_anthyllis,cf_anthyllis
cf_astragalus_type,cf_astragalus_type
cf_brassicaceae,cf_brassicaceae
cf_carya,cf_carya
cf_caucalis,cf_caucalis
cf_genista,cf_genista
cf_hypericum,cf_hypericum
cf_loranthaceae,cf_loranthaceae
cf_nyssa,cf_nyssa
cf_papaveraceae,cf_papaveraceae
cf_phillyrea,cf_phillyrea
cf_plantago,cf_plantago
cf_populus,cf_populus
cf_pterocarya_fraxinifolia,cf_pterocarya_fraxinifolia
cf_ranunculaceae,cf_ranunculaceae
cf_rhamnaceae,cf_rhamnaceae
cf_rhus,cf_rhus
cf_thymelaeaceae,cf_thymelaeaceae
chaerophyllum_aureum,chaerophyllum_aureum
chaerophyllum_hirsutum_type,chaerophyllum_hirsutum_type
chamaenerion_angustifolium,chamaenerion_angustifolium
chamaenerion_latifolium,chamaenerion_latifolium
chelidonium_majus,chelidonium_majus
chelidonium_type,chelidonium_type
chenopodium,chenopodium
chenopodium_album,chenopodium_album
chrozophora,chrozophora
chrozophora_tinctoria,chrozophora_tinctoria
chrysosplenium,chrysosplenium
cichorieae,cichorieae
cichorioideae,cichorioideae
cichorioideae_type,cichorioideae_type
cichorioideae_undiff,cichorioideae_undiff
cicuta_virosa,cicuta_virosa
cicuta_virosa_type,cicuta_virosa_type
circaea,circaea
circaea_alpina,circaea_alpina
cirsium,cirsium
cirsium_carduus_type,cirsium_carduus_type
cirsium_gundelia,cirsium_gundelia
cirsium_type,cirsium_type
cistaceae,cistaceae
cistus,cistus
cistus_albidus_type,cistus_albidus_type
cistus_type,cistus_type
claytonia,claytonia
claytonia_acutifolia,claytonia_acutifolia
claytonia_arctica,claytonia_arctica
claytonia_sarmentosa,claytonia_sarmentosa
claytonia_undiff,claytonia_undiff
claytoniella_vassilievii,claytoniella_vassilievii
clematis,clematis
clematis_type,clematis_type
colchicum,colchicum
coniferae_undiff,coniferae_undiff
consolida_type,consolida_type
convallaria,convallaria
convolvulaceae,convolvulaceae
convolvulus,convolvulus
convolvulus_arvensis,convolvulus_arvensis
convolvulus_arvensis_type,convolvulus_arvensis_type
coptis,coptis
cornaceae_type,cornaceae_type
cornus,cornus
cornus_mas,cornus_mas
cornus_sanguinea,cornus_sanguinea
cornus_suecica,cornus_suecica
corydalis,corydalis
corylus,corylus
corylus_avellana,corylus_avellana
cotoneaster,cotoneaster
cousinia,cousinia
crassulaceae,crassulaceae
crataegus,crataegus
crataegus_type,crataegus_type
cryptomeria,cryptomeria
cucumis_type,cucumis_type
cupressaceae,cupressaceae
cupressaceae_taxaceae_undiff,cupressaceae_taxaceae_undiff
cupressaceae_type,cupressaceae_type
cupressaceae_undiff,cupressaceae_undiff
cuscuta,cuscuta
cuscuta_europaea,cuscuta_europaea
cyclamen,cyclamen
cynoglossum_officinale_type,cynoglossum_officinale_type
cyperaceae,cyperaceae
cyperaceae_broken,cyperaceae_broken
cyperaceae_corroded,cyperaceae_corroded
cyperaceae_crumpled,cyperaceae_crumpled
cyperaceae_degraded,cyperaceae_degraded
cyperaceae_undiff,cyperaceae_undiff
dacrydium,dacrydium
daphne,daphne
daphne_type,daphne_type
datisca_cannabina,datisca_cannabina
daucus_carota,daucus_carota
delphinium_elatum,delphinium_elatum
delphinium_type,delphinium_type
dianthus,dianthus
dianthus_superbus_type,dianthus_superbus_type
diapensia,diapensia
digitalis,digitalis
digitalis_type,digitalis_type
dioscorea_communis,dioscorea_communis
diospyros,diospyros
dipsacoideae,dipsacoideae
dipsacoideae_undiff,dipsacoideae_undiff
dipsacus,dipsacus
dipsacus_cephalaria,dipsacus_cephalaria
dipsacus_type,dipsacus_type
dodonaea,dodonaea
draba,draba
droseraceae,droseraceae
dryas,dryas
dryas_octopetala,dryas_octopetala
ebenus_type,ebenus_type
echinops,echinops
echinops_type,echinops_type
echium,echium
echium_type,echium_type
elaeagnaceae,elaeagnaceae
elaeagnus,elaeagnus
elsholtzia,elsholtzia
elymus_type,elymus_type
empetrum,empetrum
empetrum_nigrum,empetrum_nigrum
empetrum_type,empetrum_type
engelhardia,engelhardia
ephedra,ephedra
ephedra_alata_type,ephedra_alata_type
ephedra_distachya,ephedra_distachya
ephedra_distachya_type,ephedra_distachya_type
ephedra_fragilis,ephedra_fragilis
ephedra_fragilis_type,ephedra_fragilis_type
ephedra_intermedia_type,ephedra_intermedia_type
ephedra_major_type,ephedra_major_type
ephedra_sp,ephedra_sp
epilobium,epilobium
epilobium_type,epilobium_type
epilobium_undiff,epilobium_undiff
epipactis,epipactis
eremurus,eremurus
erica_type,erica_type
ericaceae,ericaceae
ericaceae_undiff,ericaceae_undiff
ericales,ericales
ericales_undiff,ericales_undiff
erodium,erodium
erodium_type,erodium_type
eryngium,eryngium
