taxon_name,level_1
cerberiopsis,cerberiopsis
ceriops,ceriops
cf_acanthaceae,cf_acanthaceae
cf_adenostemma,cf_adenostemma
cf_amperea,cf_amperea
cf_astelia,cf_astelia
cf_bidens_erigeron,cf_bidens_erigeron
cf_brassicaceae,cf_brassicaceae
cf_canthium,cf_canthium
cf_celtis,cf_celtis
cf_euphorbiaceae,cf_euphorbiaceae
cf_fuchsia,cf_fuchsia
cf_homalium,cf_homalium
cf_melochia,cf_melochia
cf_pandanus,cf_pandanus
cf_pemphis,cf_pemphis
cf_psychotria,cf_psychotria
cf_psydrax,cf_psydrax
cf_quintinia,cf_quintinia
cf_rubiaceae,cf_rubiaceae
cf_rubus,cf_rubus
cf_samolus,cf_samolus
cf_streblus,cf_streblus
chenopodiaceae_sensu_stricto,chenopodiaceae_sensu_stricto
chorizandra,chorizandra
cichorieae,cichorieae
cichorioideae,cichorioideae
cichorioideae_undiff,cichorioideae_undiff
cirsium,cirsium
cissus,cissus
claoxylon,claoxylon
cleidion,cleidion
cleistocalyx,cleistocalyx
clematis,clematis
clematis_type,clematis_type
cocos,cocos
codia,codia
codonocarpus,codonocarpus
coleus,coleus
collospermum,collospermum
colobanthus,colobanthus
colocasia,colocasia
colocasia_esculenta,colocasia_esculenta
combretaceae,combretaceae
combretaceae_cf_terminalia_type,combretaceae_cf_terminalia_type
combretaceae_melastomataceae,combretaceae_melastomataceae
comesperma,comesperma
commelina,commelina
commelinaceae,commelinaceae
commersonia,commersonia
coniferae,coniferae
convolvulaceae,convolvulaceae
coprosma,coprosma
coprosma_opercularia,coprosma_opercularia
coprosma_pomax,coprosma_pomax
cordyline,cordyline
coriaria,coriaria
correa,correa
corymbia,corymbia
corymbia_intermedia,corymbia_intermedia
corymbia_ptychocarpa,corymbia_ptychocarpa
corymbia_terminalis,corymbia_terminalis
crassula,crassula
crassula_macrantha,crassula_macrantha
crassula_sieberiana,crassula_sieberiana
crassulaceae,crassulaceae
crotalaria,crotalaria
croton,croton
croton_comp,croton_comp
cryptandra,cryptandra
cryptandra_spinescens,cryptandra_spinescens
cunoniaceae,cunoniaceae
cunoniaceae_dicolpate,cunoniaceae_dicolpate
cunoniaceae_elaeocarpaceae,cunoniaceae_elaeocarpaceae
cunoniaceae_tricolpate,cunoniaceae_tricolpate
cupaniopsis,cupaniopsis
cuphea,cuphea
cupressaceae,cupressaceae
cyclophyllum,cyclophyllum
cyclophyllum_barbatum,cyclophyllum_barbatum
cynometra_type,cynometra_type
cyperaceae,cyperaceae
cyperaceae_20_mu_m,cyperaceae_20_mu_m
cyperaceae_27_mu_m,cyperaceae_27_mu_m
cyperaceae_29_mu_m,cyperaceae_29_mu_m
cyperaceae_31_mu_m,cyperaceae_31_mu_m
cyperaceae_inaperturate,cyperaceae_inaperturate
cyperaceae_reticulate,cyperaceae_reticulate
cyperaceae_type_1,cyperaceae_type_1
cyperaceae_undiff,cyperaceae_undiff
cyperus,cyperus
cyperus_type,cyperus_type
dacrycarpus,dacrycarpus
dacrycarpus_dacrydioides,dacrycarpus_dacrydioides
dacrycarpus_imbricatus,dacrycarpus_imbricatus
dacrycarpus_trisaccate,dacrycarpus_trisaccate
dacrydium,dacrydium
dacrydium_cupressinum,dacrydium_cupressinum
dacrydium_franklinii,dacrydium_franklinii
dampiera,dampiera
daviesia,daviesia
daviesia_type,daviesia_type
decaspermum,decaspermum
dentella_type,dentella_type
dianella,dianella
dichosciadium,dichosciadium
dichosciadium_ranunculaceum,dichosciadium_ranunculaceum
dicliptera,dicliptera
didymotheca,didymotheca
dillenia,dillenia
dilleniaceae,dilleniaceae
diplaspis,diplaspis
discaria,discaria
discaria_toumatou,discaria_toumatou
disphyma,disphyma
dissiliaria_comp,dissiliaria_comp
distylium_stellare,distylium_stellare
dodonaea,dodonaea
dodonaea_cf_d_viscosa,dodonaea_cf_d_viscosa
dodonaea_cuneata_type,dodonaea_cuneata_type
dodonaea_hispidula,dodonaea_hispidula
dodonaea_pinnata_type,dodonaea_pinnata_type
dodonaea_triquetra,dodonaea_triquetra
dodonaea_triquetra_type,dodonaea_triquetra_type
dodonaea_type,dodonaea_type
dodonaea_viscosa,dodonaea_viscosa
dodonaea_viscosa_type,dodonaea_viscosa_type
dolicholobium,dolicholobium
donatia,donatia
dracophyllum,dracophyllum
drapetes,drapetes
drimys,drimys
dysoxylum,dysoxylum
echium_cf_e_plantagineum,echium_cf_e_plantagineum
echium_violaceum,echium_violaceum
ehretia,ehretia
elaeagnus_comp,elaeagnus_comp
elaeocarpaceae,elaeocarpaceae
elaeocarpaceae_cf_elaeocarpus,elaeocarpaceae_cf_elaeocarpus
elaeocarpus,elaeocarpus
elattostachys,elattostachys
eleocharis,eleocharis
eleocharis_comp,eleocharis_comp
eleocharis_type,eleocharis_type
embelia,embelia
empodisma,empodisma
empodisma_type,empodisma_type
endospermum,endospermum
engelhardia,engelhardia
engelhardia_cf_e_spicata,engelhardia_cf_e_spicata
engelhardia_type,engelhardia_type
epacridaceae_ericaceae,epacridaceae_ericaceae
epacrideae,epacrideae
epacrideae_undiff,epacrideae_undiff
epacris,epacris
epacris_bawbawiensis,epacris_bawbawiensis
epacris_serpyllifolia,epacris_serpyllifolia
epacris_type,epacris_type
epilobium,epilobium
eremophila,eremophila
ericaceae,ericaceae
ericaceae_type_2,ericaceae_type_2
ericaceae_undiff,ericaceae_undiff
eriostemon,eriostemon
eryngium,eryngium
erythrina_variegata,erythrina_variegata
eucalyptus,eucalyptus
eucalyptus_cf_e_pauciflora_niphophila,eucalyptus_cf_e_pauciflora_niphophila
eucalyptus_dalrympleana,eucalyptus_dalrympleana
eucalyptus_dives,eucalyptus_dives
eucalyptus_pilularis_type_melaleuca_type,eucalyptus_pilularis_type_melaleuca_type
eucalyptus_psilate,eucalyptus_psilate
eucalyptus_signata,eucalyptus_signata
eucalyptus_tetrodonta,eucalyptus_tetrodonta
eucalyptus_type,eucalyptus_type
eucalyptus_type_1_granular,eucalyptus_type_1_granular
eucalyptus_type_2_psilate,eucalyptus_type_2_psilate
eucalyptus_type_3_granular,eucalyptus_type_3_granular
eucalyptus_type_4_granular,eucalyptus_type_4_granular
eucalyptus_undiff,eucalyptus_undiff
eucalyptus_viminalis,eucalyptus_viminalis
eucryphia,eucryphia
eucryphia_anodopetalum,eucryphia_anodopetalum
eucryphia_type_anodopetalum_type,eucryphia_type_anodopetalum_type
eugenia_comp,eugenia_comp
eugenia_simmondsiae,eugenia_simmondsiae
euodia,euodia
euphorbia,euphorbia
euphorbia_cf_e_peplus,euphorbia_cf_e_peplus
euphorbia_comp,euphorbia_comp
euphorbia_hirta,euphorbia_hirta
euphorbia_type,euphorbia_type
euphorbiaceae,euphorbiaceae
euphorbiaceae_cf_amperea,euphorbiaceae_cf_amperea
euphorbiaceae_cf_euphorbia,euphorbiaceae_cf_euphorbia
euphorbiaceae_undiff,euphorbiaceae_undiff
euphrasia,euphrasia
evodiella,evodiella
ewartia_type_gnaphalium_type,ewartia_type_gnaphalium_type
excoecaria,excoecaria
excoecaria_homalanthus,excoecaria_homalanthus
excoecaria_type,excoecaria_type
exocarpos,exocarpos
exocarpos_type,exocarpos_type
fabaceae,fabaceae
fabaceae_herbs,fabaceae_herbs
fabaceae_shrubs,fabaceae_shrubs
fabaceae_type_1,fabaceae_type_1
fabaceae_type_2,fabaceae_type_2
fabaceae_undiff,fabaceae_undiff
faboideae,faboideae
