taxon_name,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8
Echium vulgare,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Echium,Echium vulgare,Echium vulgare
Epipactis palustris,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Epipactis,Epipactis palustris,Epipactis palustris
Gypsophila fastigiata,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Gypsophila,Gypsophila fastigiata,Gypsophila fastigiata
Helianthemum canum-type,Plantae,Tracheophyta,Magnoliopsida,Malvales,Cistaceae,Helianthemum,Helianthemum,Helianthemum
Helianthemum oelandicum-type,Plantae,Tracheophyta,Magnoliopsida,Malvales,Cistaceae,Helianthemum,Helianthemum,Helianthemum
Linum catharticum-type,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Linaceae,Linum,Linum,Linum
Lithospermum officinale,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Lithospermum,Lithospermum officinale,Lithospermum officinale
Loranthus europaeus,Plantae,Tracheophyta,Magnoliopsida,Santalales,Loranthaceae,Loranthus,Loranthus europaeus,Loranthus europaeus
Lysimachia nummularia,Plantae,Tracheophyta,Magnoliopsida,Ericales,Primulaceae,Lysimachia,Lysimachia nummularia,Lysimachia nummularia
Lysimachia thyrsiflora,Plantae,Tracheophyta,Magnoliopsida,Ericales,Primulaceae,Lysimachia,Lysimachia thyrsiflora,Lysimachia thyrsiflora
Lythrum portula,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Lythraceae,Lythrum,Lythrum portula,Lythrum portula
Malus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Malus,Malus,Malus
Medicago sativa,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Medicago,Medicago sativa,Medicago sativa
Ranunculus flammula-type,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculus,Ranunculus,Ranunculus
Rumex acetosa/Oxyria-type,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Rumex,Rumex,Rumex
Rumex crispus,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Rumex,Rumex crispus,Rumex crispus
Salix glauca-type,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Salix,Salix,Salix
Salix polaris-type,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Salix,Salix,Salix
Salvia,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Salvia,Salvia,Salvia
Scorzonera humilis-type,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Scorzonera,Scorzonera,Scorzonera
Scrophularia,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,Scrophularia,Scrophularia,Scrophularia
Solanum nigrum-type,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,Solanum,Solanum
Syringa vulgaris,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Syringa,Syringa vulgaris,Syringa vulgaris
Trifolium repens,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Trifolium,Trifolium repens,Trifolium repens
Urtica urens,Plantae,Tracheophyta,Magnoliopsida,Rosales,Urticaceae,Urtica,Urtica urens,Urtica urens
Valeriana dioica,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Valeriana,Valeriana dioica,Valeriana dioica
Rosaceae (trees),Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosaceae,Rosaceae,Rosaceae
Centaurea montana,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Centaurea,Centaurea montana,Centaurea montana
Heracleum,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Heracleum,Heracleum,Heracleum
Lilium martagon-type,Plantae,Tracheophyta,Liliopsida,Liliales,Liliaceae,Lilium,Lilium,Lilium
Euphorbiaceae undiff.,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbiaceae,Euphorbiaceae,Euphorbiaceae
Gentiana pneumonanthe,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Gentianaceae,Gentiana,Gentiana pneumonanthe,Gentiana pneumonanthe
Jasminum,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Jasminum,Jasminum,Jasminum
Solanum,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,Solanum,Solanum
Viola arvensis,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Violaceae,Viola,Viola arvensis,Viola arvensis
Viola riviniana,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Violaceae,Viola,Viola riviniana,Viola riviniana
Sambucus nigra/S. racemosa,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Viburnaceae,Sambucus,Sambucus,Sambucus
Nigella,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Nigella,Nigella,Nigella
Persicaria maculosa,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Persicaria,Persicaria maculosa,Persicaria maculosa
Chenopodium,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Chenopodium,Chenopodium,Chenopodium
Fraxinus ornus,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Fraxinus,Fraxinus ornus,Fraxinus ornus
Genista,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Genista,Genista,Genista
