neotoma_names,level_1,level_2,level_3,level_4,level_5,level_6,level_7
Empetrum cf. E. nigrum,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Empetrum,NA
Gypsophila fastigiata-type,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Gypsophila,NA
Populus tremula-type,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,NA
Silene undiff.,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Silene,NA
Urtica cf. U. dioica,Plantae,Tracheophyta,Magnoliopsida,Rosales,Urticaceae,Urtica,NA
Buxus sempervirens,Plantae,Tracheophyta,Magnoliopsida,Buxales,Buxaceae,Buxus,Buxus sempervirens
Fallopia convolvulus/F. dumetorum,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Fallopia,NA
Polygonatum verticillatum,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Polygonatum,Polygonatum verticillatum
Primula farinosa-type,Plantae,Tracheophyta,Magnoliopsida,Ericales,Primulaceae,Primula,NA
Rumex cf. R. obtusifolius,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Rumex,NA
Sambucus cf. S. nigra,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Viburnaceae,Sambucus,NA
Saxifraga cf. S. hirculus,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Saxifraga,NA
Staphylea,Plantae,Tracheophyta,Magnoliopsida,Crossosomatales,Staphyleaceae,Staphylea,NA
Syringa,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Syringa,NA
Anthyllis,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Anthyllis,NA
Arnica montana,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Arnica,Arnica montana
Astragalus alpinus-type,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Astragalus,NA
Bellis,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Bellis,NA
Cerastium arvense-type,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Cerastium,NA
Convallaria majalis,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Convallaria,Convallaria majalis
Cytisus scoparius,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Cytisus,Cytisus scoparius
Daucus carota,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Daucus,Daucus carota
Dianthus superbus-type,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Dianthus,NA
Erigeron,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Erigeron,NA
Homogyne,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Homogyne,NA
Lonicera xylosteum-type,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Lonicera,NA
Medicago falcata-type,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Medicago,NA
Mercurialis annua,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Mercurialis,Mercurialis annua
Minuartia rubra-type,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Minuartia,NA
Onosma,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Onosma,NA
Primula hirsuta-type,Plantae,Tracheophyta,Magnoliopsida,Ericales,Primulaceae,Primula,NA
Rosa,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosa,NA
Senecio,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Senecio,NA
Solidago,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Solidago,NA
Tussilago farfara,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Tussilago,Tussilago farfara
Valeriana tripteris-type,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Valeriana,NA
Ranunculus lingua-type,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculus,NA
Arbutus,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Arbutus,NA
Arceuthobium oxycedri,Plantae,Tracheophyta,Magnoliopsida,Santalales,Viscaceae,Arceuthobium,Arceuthobium oxycedri
Asparagus acutifolius,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Asparagus,Asparagus acutifolius
Asphodeline,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Asphodeline,NA
Asphodelus albus-type,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Asphodelus,NA
Calligonum,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Calligonum,NA
Carlina,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Carlina,NA
Carthamus,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Carthamus,NA
Celtis australis,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis australis
Centaurium,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Gentianaceae,Centaurium,NA
Cerinthe,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Cerinthe,NA
Cistus monspeliensis,Plantae,Tracheophyta,Magnoliopsida,Malvales,Cistaceae,Cistus,Cistus monspeliensis
Cistus salviifolius,Plantae,Tracheophyta,Magnoliopsida,Malvales,Cistaceae,Cistus,Cistus salviifolius
Epipactis palustris-type,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Epipactis,NA
Erica arborea-type,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Erica,NA
Ficus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Ficus,NA
Helleborus foetidus,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Helleborus,Helleborus foetidus
Linum usitatissimum-type,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Linaceae,Linum,NA
Lycopsis arvensis,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Lycopsis,Lycopsis arvensis
Lygeum spartum,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Lygeum,Lygeum spartum
Myrtus communis,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Myrtus,Myrtus communis
Nerium oleander,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Nerium,Nerium oleander
Pinus halepensis-type,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Pinus,NA
Quercus cerris/Q. suber,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,NA
