taxa,dataset_id,BIN,summed_pollen_count
Fagus,1002,3,2
Fagus,1002,11,1504
Fagus,1002,13,1580
Fagus,1002,14,985
Fagus,1002,15,1028
Fagus,1002,16,1145
Fagus,1002,17,1717
Fagus,1002,18,734
Fagus,1002,19,29
Fagus,1002,20,15
Fagus,1002,21,1292
Fraxinus nigra-type,1002,1,168
Fraxinus nigra-type,1002,2,147
Fraxinus nigra-type,1002,3,41
Fraxinus nigra-type,1002,11,198
Fraxinus nigra-type,1002,13,285
Fraxinus nigra-type,1002,14,211
Fraxinus nigra-type,1002,15,167
Fraxinus nigra-type,1002,16,102
Fraxinus nigra-type,1002,17,160
Fraxinus nigra-type,1002,18,351
Fraxinus nigra-type,1002,19,210
Fraxinus nigra-type,1002,20,255
Fraxinus nigra-type,1002,21,190
Fraxinus undiff.,1002,1,98
Fraxinus undiff.,1002,2,18
Fraxinus undiff.,1002,3,1
Fraxinus undiff.,1002,11,210
Fraxinus undiff.,1002,13,209
Fraxinus undiff.,1002,14,117
Fraxinus undiff.,1002,15,112
Fraxinus undiff.,1002,16,78
Fraxinus undiff.,1002,17,66
Fraxinus undiff.,1002,18,183
Fraxinus undiff.,1002,19,65
Fraxinus undiff.,1002,20,51
Fraxinus undiff.,1002,21,149
Ilex,1002,1,1
Ilex,1002,2,0
Ilex,1002,3,0
Ilex,1002,11,0
Ilex,1002,13,0
Ilex,1002,14,0
Ilex,1002,15,0
Ilex,1002,16,0
Ilex,1002,17,0
Ilex,1002,18,0
Ilex,1002,19,0
Ilex,1002,20,0
Ilex,1002,21,0
Juglans cinerea,1002,1,28
Juglans cinerea,1002,2,15
Juglans cinerea,1002,3,6
Juglans cinerea,1002,11,56
Juglans cinerea,1002,13,52
Juglans cinerea,1002,14,61
Juglans cinerea,1002,15,76
Juglans cinerea,1002,16,52
Juglans cinerea,1002,17,25
Juglans cinerea,1002,18,43
Juglans cinerea,1002,19,22
Juglans cinerea,1002,20,17
Juglans cinerea,1002,21,52
Juglans nigra,1002,1,3
Juglans nigra,1002,2,0
Juglans nigra,1002,3,0
Juglans nigra,1002,11,1
Juglans nigra,1002,13,1
Juglans nigra,1002,14,2
Juglans nigra,1002,15,1
Juglans nigra,1002,16,0
Juglans nigra,1002,17,1
Juglans nigra,1002,18,1
Juglans nigra,1002,19,0
Juglans nigra,1002,20,0
Juglans nigra,1002,21,3
Juniperus/Thuja,1002,1,62
Juniperus/Thuja,1002,2,39
Juniperus/Thuja,1002,3,53
Juniperus/Thuja,1002,11,27
Juniperus/Thuja,1002,13,62
Juniperus/Thuja,1002,14,30
Juniperus/Thuja,1002,15,23
Juniperus/Thuja,1002,16,17
Juniperus/Thuja,1002,17,51
Juniperus/Thuja,1002,18,79
Juniperus/Thuja,1002,19,12
Juniperus/Thuja,1002,20,18
Juniperus/Thuja,1002,21,31
Larix,1002,1,46
Larix,1002,2,91
Larix,1002,3,67
Larix,1002,11,40
Larix,1002,13,41
Larix,1002,14,18
Larix,1002,15,32
Larix,1002,16,7
Larix,1002,17,5
Larix,1002,18,26
Larix,1002,19,18
Larix,1002,20,81
