taxa,woodiness,"total_plant_height $\textgreater$ 1.5m (T/F, woody only)",native
Polygonum aviculare-type,non-woody,n/a,n/a
Polygonum delopyrum-type,non-woody,n/a,n/a
Polygonum fimbriatum-type,non-woody,n/a,n/a
Polygonum polygamum-type,non-woody,n/a,n/a
Polygonum sensu lato undiff,non-woody,n/a,n/a
Polygonum tenue-type,non-woody,n/a,n/a
Portulacaceae,non-woody,n/a,n/a
Potentilla,non-woody,n/a,n/a
Primulaceae,non-woody,n/a,n/a
Prunella-type,non-woody,n/a,n/a
Prunus/Amelanchier,woody,T,yes
Ranunculaceae (tricolpate),non-woody,n/a,n/a
Ranunculaceae undiff,non-woody,n/a,n/a
Ranunculus,non-woody,n/a,n/a
Rhamnaceae,woody,T,yes
Rhamnaceae undiff,woody,T,yes
Rhexia-type,non-woody,n/a,n/a
Rosaceae,woody,T,yes
Rosaceae undiff,woody,T,yes
Rubiaceae undiff,woody,T,yes
Rubus,woody,T,yes
Rubus arcticus,woody,F,yes
Rubus chamaemorus,woody,F,yes
Rubus-type,woody,T,yes
Rumex,non-woody,n/a,n/a
Rumex/Oxyria digyna,non-woody,n/a,n/a
Rutaceae undiff,woody,T,yes
Sabal,woody,T,yes
Salsola,non-woody,n/a,n/a
Sanguisorba,non-woody,n/a,n/a
Saussurea,non-woody,n/a,n/a
Saxifraga cernua,non-woody,n/a,n/a
Saxifraga cernua-type,non-woody,n/a,n/a
Saxifraga oppositifolia-type,non-woody,n/a,n/a
Saxifraga tricuspidata,non-woody,n/a,n/a
Saxifragaceae,non-woody,n/a,n/a
Saxifragaceae undiff,non-woody,n/a,n/a
Saxifraga-type,non-woody,n/a,n/a
Scrophulariaceae,non-woody,n/a,n/a
Scrophulariaceae-type,non-woody,n/a,n/a
Sisyrinchium,non-woody,n/a,n/a
Solanaceae,woody,T,yes
Solanaceae undiff,woody,T,yes
Solanum rostratum,non-woody,n/a,n/a
Spermatophyta undiff (trees),woody,F,yes
Spermatophyta undiff (trees/shrubs),woody,T,yes
Sphaeralcea,non-woody,n/a,n/a
Stachys-type,non-woody,n/a,n/a
Thalictrum,non-woody,n/a,n/a
Tidestromia,non-woody,n/a,n/a
Tillandsia,non-woody,n/a,n/a
Trema,woody,T,no
Trifolium repens-type,non-woody,n/a,n/a
Triticum-type,non-woody,n/a,n/a
Trixis,woody,F,no
Urtica,non-woody,n/a,n/a
Urticaceae undiff,non-woody,n/a,n/a
Urticalean Rosids undiff,woody,T,yes
Urtica-type,non-woody,n/a,n/a
Valeriana,non-woody,n/a,n/a
Viscaceae sensu stricto,woody,F,yes
Vitis,non-woody,T,yes
Xanthium,non-woody,n/a,n/a
Ximenia,woody,T,no
Xyris,non-woody,n/a,n/a
Zanthoxylum-type,woody,T,yes
Zea mays,non-woody,n/a,n/a
Zigadenus,non-woody,n/a,n/a
